id,IP,sex,grade,residence,school,SNS_t,SES_t,CSES_t,EIB_t,inter_raw,center_SES,female,male,freshman,sophomore,junior,senior,rural,city,private,public
22,浙江,male,sophomore,city,public,1.1057366470398051,27,20,29,-1.7218522343943317,-1.557199211045365,0,1,0,1,0,0,0,1,0,1
23,黑龙江,female,sophomore,rural,public,1.1057366470398051,31,23,30,2.701094353764889,2.442800788954635,1,0,0,1,0,0,1,0,0,1
24,云南,female,sophomore,city,private,-0.6038686780879093,36,24,31,-4.494474273697684,7.442800788954635,1,0,0,1,0,0,0,1,1,0
25,云南,male,junior,rural,public,0.9530388258083272,37,25,37,8.046316950438944,8.442800788954635,0,1,0,0,1,0,1,0,0,1
26,浙江,female,sophomore,city,private,0.38452257228157655,29,20,31,0.17026689837714779,0.44280078895463504,1,0,0,1,0,0,0,1,1,0
27,浙江,male,sophomore,city,private,0.8204610312560737,27,16,27,-1.2776212705654246,-1.557199211045365,0,1,0,1,0,0,0,1,1,0
28,浙江,female,freshman,rural,public,-2.4952632455766763,22,4,8,16.36193818524588,-6.557199211045365,1,0,1,0,0,0,1,0,0,1
29,浙江,male,sophomore,rural,private,0.5394040036550853,25,20,26,-1.9187674962365808,-3.557199211045365,0,1,0,1,0,0,1,0,1,0
30,江苏,female,junior,rural,public,-1.5686751952581421,26,20,31,4.011414971700555,-2.557199211045365,1,0,0,0,1,0,1,0,0,1
31,浙江,female,senior,rural,public,0.6535727022982657,26,15,25,-1.6713155986779122,-2.557199211045365,1,0,0,0,0,1,1,0,0,1
32,湖北,female,senior,rural,public,1.1057366470398051,34,18,24,6.018304294884304,5.442800788954635,1,0,0,0,0,1,1,0,0,1
33,浙江,female,sophomore,rural,public,0.20548667388568478,29,17,30,0.09098966131624503,0.44280078895463504,1,0,0,1,0,0,1,0,0,1
34,云南,female,senior,city,private,-0.4812548428317088,31,20,27,-1.175609709757537,2.442800788954635,1,0,0,0,0,1,0,1,1,0
35,云南,female,freshman,rural,private,0.25397975577003523,24,20,25,-1.1574363426166991,-4.557199211045365,1,0,1,0,0,0,1,0,1,0
36,河南,female,senior,city,private,0.10128193453855727,29,19,29,0.04484772052052486,0.44280078895463504,1,0,0,0,0,1,0,1,1,0
37,云南,male,freshman,rural,private,-0.6523617599722599,29,21,29,-0.28886630199955093,0.44280078895463504,0,1,1,0,0,0,1,0,1,0
38,浙江,female,junior,rural,public,1.1057366470398051,28,28,32,-0.6161155873545267,-0.557199211045365,1,0,0,0,1,0,1,0,0,1
39,黑龙江,female,sophomore,rural,public,0.9549117802137589,29,20,32,0.4228356896607275,0.44280078895463504,1,0,0,1,0,0,1,0,0,1
40,云南,female,freshman,rural,private,-0.7988194065142441,23,17,26,4.439198575648684,-5.557199211045365,1,0,1,0,0,0,1,0,1,0
41,云南,female,senior,city,private,0.8224960092967858,31,22,28,2.0091939004222272,2.442800788954635,1,0,0,0,0,1,0,1,1,0
42,云南,female,freshman,rural,private,-0.06356345613100438,26,16,29,0.16254441986952106,-2.557199211045365,1,0,1,0,0,0,1,0,1,0
43,浙江,female,sophomore,rural,public,0.5534458792800966,27,18,27,-0.8618254865712747,-1.557199211045365,1,0,0,1,0,0,1,0,0,1
44,浙江,male,senior,rural,public,-0.2284301985820618,25,16,24,0.8125717221750463,-3.557199211045365,0,1,0,0,0,1,1,0,0,1
45,云南,male,freshman,rural,private,-0.3468040938740236,31,16,29,-0.8471733141281622,2.442800788954635,0,1,1,0,0,0,1,0,1,0
46,云南,male,sophomore,city,private,0.836537884921797,29,24,29,0.3704196354338134,0.44280078895463504,0,1,0,1,0,0,0,1,1,0
47,江西,female,sophomore,city,public,1.1057366470398051,25,17,28,-3.933325528473942,-3.557199211045365,1,0,0,1,0,0,0,1,0,1
48,浙江,male,sophomore,city,public,-0.2606977946993702,29,25,32,-0.11543718917161461,0.44280078895463504,0,1,0,1,0,0,0,1,0,1
49,江西,female,sophomore,rural,public,0.702087135964112,28,19,32,-0.3912023982443031,-0.557199211045365,1,0,0,1,0,0,1,0,0,1
50,浙江,male,freshman,rural,private,-1.3077160701320738,23,14,21,7.267238713209306,-5.557199211045365,0,1,1,0,0,0,1,0,1,0
51,北京,male,senior,city,public,-0.09164720738102687,34,24,37,-0.4988174926389421,5.442800788954635,0,1,0,0,0,1,0,1,0,1
52,浙江,male,junior,city,private,-0.33261358614769354,35,24,32,-2.1429630752493902,6.442800788954635,0,1,0,0,1,0,0,1,1,0
53,浙江,male,senior,rural,private,0.12171261695438103,25,12,18,-0.4329560250043909,-3.557199211045365,0,1,0,0,0,1,1,0,1,0
54,浙江,female,senior,city,private,1.1057366470398051,26,16,24,-2.827588881434137,-2.557199211045365,1,0,0,0,0,1,0,1,1,0
55,云南,female,sophomore,rural,private,1.1057366470398051,28,24,32,-0.6161155873545267,-0.557199211045365,1,0,0,1,0,0,1,0,1,0
56,云南,male,sophomore,city,private,-1.7438031612078901,23,19,30,9.6906615516829,-5.557199211045365,0,1,0,1,0,0,0,1,1,0
57,云南,female,sophomore,city,private,-0.48766500140401714,28,13,23,0.27172655403675516,-0.557199211045365,1,0,0,1,0,0,0,1,1,0
58,云南,female,sophomore,city,public,0.5353474391076226,26,18,28,-1.368990048921169,-2.557199211045365,1,0,0,1,0,0,0,1,0,1
59,云南,male,sophomore,rural,public,1.1057366470398051,28,28,40,-0.6161155873545267,-0.557199211045365,0,1,0,1,0,0,1,0,0,1
60,浙江,female,sophomore,rural,public,0.20767028402771567,25,21,28,-0.7387245705009571,-3.557199211045365,1,0,0,1,0,0,1,0,0,1
61,云南,female,sophomore,rural,private,-0.6947632992684355,30,25,32,-1.002405036321224,1.442800788954635,1,0,0,1,0,0,1,0,1,0
62,云南,female,sophomore,rural,private,0.20548667388568478,28,16,29,-0.11449701256943975,-0.557199211045365,1,0,0,1,0,0,1,0,1,0
63,云南,female,sophomore,rural,private,-1.8336687607273685,25,9,31,6.522725068977928,-3.557199211045365,1,0,0,1,0,0,1,0,1,0
64,云南,female,sophomore,city,public,0.40089669014993756,32,19,31,1.380207441137507,3.442800788954635,1,0,0,1,0,0,0,1,0,1
65,云南,female,sophomore,rural,private,-0.5157274008725439,33,21,28,-2.291274103482061,4.442800788954635,1,0,0,1,0,0,1,0,1,0
66,云南,female,sophomore,rural,private,0.20548667388568478,24,12,24,-0.9364437081121789,-4.557199211045365,1,0,0,1,0,0,1,0,1,0
67,云南,male,sophomore,city,private,0.6880452603391006,35,25,32,4.432938546149255,6.442800788954635,0,1,0,1,0,0,0,1,1,0
68,云南,male,sophomore,rural,private,1.1057366470398051,22,20,25,-7.250535469593357,-6.557199211045365,0,1,0,1,0,0,1,0,1,0
69,云南,female,sophomore,rural,private,0.6880452603391006,23,20,25,-3.823604577919953,-5.557199211045365,1,0,0,1,0,0,1,0,1,0
70,云南,female,sophomore,city,private,-1.3259631424058667,19,9,17,12.672493898476581,-9.557199211045365,1,0,0,1,0,0,0,1,1,0
71,浙江,male,senior,city,public,1.1057366470398051,22,10,25,-7.250535469593357,-6.557199211045365,0,1,0,0,0,1,0,1,0,1
72,云南,male,sophomore,rural,private,-1.1187162124401295,27,16,24,1.7420640033954287,-1.557199211045365,0,1,0,1,0,0,1,0,1,0
73,云南,male,sophomore,city,private,0.40495325469740023,28,16,27,-0.22563963402764414,-0.557199211045365,0,1,0,1,0,0,0,1,1,0
74,云南,female,sophomore,rural,private,-0.07760533175601562,26,16,24,0.19845229313939697,-2.557199211045365,1,0,0,1,0,0,1,0,1,0
75,云南,female,sophomore,rural,private,0.6253616707284201,22,19,24,-4.100621053918408,-6.557199211045365,1,0,0,1,0,0,1,0,1,0
76,浙江,male,senior,city,private,-1.2632795527951861,25,16,28,4.493737028532777,-3.557199211045365,0,1,0,0,0,1,0,1,1,0
77,广东,female,senior,city,private,0.6839886957916379,29,14,19,0.30287073413258914,0.44280078895463504,1,0,0,0,0,1,0,1,1,0
78,云南,male,sophomore,city,private,-0.7888340954366958,23,13,26,4.38370821280649,-5.557199211045365,0,1,0,1,0,0,0,1,1,0
79,云南,female,sophomore,city,private,-0.25866281665865815,26,20,30,0.6614523506862925,-2.557199211045365,1,0,0,1,0,0,0,1,1,0
80,云南,male,sophomore,rural,private,0.6394035463534312,25,16,27,-2.274485790628034,-3.557199211045365,0,1,0,1,0,0,1,0,1,0
81,浙江,female,junior,rural,private,-0.017091960753404578,27,19,15,0.026615587800419952,-1.557199211045365,1,0,0,0,1,0,1,0,1,0
82,黑龙江,female,senior,city,public,-0.5712690744525062,34,22,35,-3.109303769135485,5.442800788954635,1,0,0,0,0,1,0,1,0,1
83,云南,male,freshman,rural,private,-1.5000620866945669,37,20,32,-12.664725369025826,8.442800788954635,0,1,1,0,0,0,1,0,1,0
84,湖北,female,senior,city,public,0.20548667388568478,29,19,32,0.09098966131624503,0.44280078895463504,1,0,0,0,0,1,0,1,0,1
85,浙江,male,senior,rural,private,0.4007480580486187,29,20,29,0.17745155627596623,0.44280078895463504,0,1,0,0,0,1,1,0,1,0
86,广东,female,senior,city,public,0.5676363870064268,29,24,32,0.25134984000580435,0.44280078895463504,1,0,0,0,0,1,0,1,0,1
87,云南,male,sophomore,city,private,0.2500718233238914,28,18,27,-0.13933982266074818,-0.557199211045365,0,1,0,1,0,0,0,1,1,0
88,云南,male,sophomore,city,private,0.6878966282377817,24,17,24,-3.134881971485986,-4.557199211045365,0,1,0,1,0,0,0,1,1,0
89,浙江,male,freshman,city,private,1.1057366470398051,40,28,40,12.652724177123135,11.442800788954635,0,1,1,0,0,0,0,1,1,0
90,云南,male,sophomore,rural,private,-1.5686751952581421,30,20,32,-2.2632858093320136,1.442800788954635,0,1,0,1,0,0,1,0,1,0
91,云南,female,junior,rural,public,0.2680216313950465,38,27,35,2.5308748723940533,9.442800788954635,1,0,0,0,1,0,1,0,0,1
92,云南,female,junior,rural,private,-0.6362849063065367,27,16,29,0.9908223541006128,-1.557199211045365,1,0,0,0,1,0,1,0,1,0
93,云南,male,sophomore,rural,private,-0.4055931425725216,26,24,32,1.0371824641918626,-2.557199211045365,0,1,0,1,0,0,1,0,1,0
94,湖南,female,sophomore,city,public,0.5534458792800966,28,17,30,-0.30837960729117814,-0.557199211045365,1,0,0,1,0,0,0,1,0,1
95,广东,female,senior,city,private,-0.0958524040298085,22,12,20,0.6285233080810619,-6.557199211045365,1,0,0,0,0,1,0,1,1,0
96,黑龙江,female,sophomore,city,public,-0.6947632992684355,23,19,26,3.8609380585578243,-5.557199211045365,1,0,0,1,0,0,0,1,0,1
97,云南,female,sophomore,city,private,0.8224960092967858,30,24,31,1.1866978911254413,1.442800788954635,1,0,0,1,0,0,0,1,1,0
98,云南,female,junior,city,private,0.05278885265420672,29,23,27,0.023374945603292716,0.44280078895463504,1,0,0,0,1,0,0,1,1,0
99,云南,male,junior,city,private,0.5392553715537666,32,24,35,1.8565488186333323,3.442800788954635,0,1,0,0,1,0,0,1,1,0
100,云南,female,sophomore,rural,private,0.23369770545553037,26,17,24,-0.5976115880139944,-2.557199211045365,1,0,0,1,0,0,1,0,1,0
101,黑龙江,male,sophomore,rural,public,-0.5157274008725439,26,17,24,1.318817702625746,-2.557199211045365,0,1,0,1,0,0,1,0,0,1
102,黑龙江,female,sophomore,rural,public,0.800341004576849,32,20,27,2.755414641989921,3.442800788954635,1,0,0,1,0,0,1,0,0,1
103,山西,male,senior,rural,public,0.20548667388568478,26,20,32,-0.5254703603408093,-2.557199211045365,0,1,0,0,0,1,1,0,0,1
104,云南,female,sophomore,city,public,0.25631199801338506,23,15,20,-1.4243768331414446,-5.557199211045365,1,0,0,1,0,0,0,1,0,1
105,陕西,female,junior,city,public,0.10752210922805087,27,24,40,-0.16743334365985438,-1.557199211045365,1,0,0,0,1,0,0,1,0,1
106,北京,female,sophomore,city,public,-0.648143171789517,28,15,24,0.3611448639655593,-0.557199211045365,1,0,0,1,0,0,0,1,0,1
107,河南,female,junior,city,public,1.1057366470398051,37,28,40,9.33551423600372,8.442800788954635,1,0,0,0,1,0,0,1,0,1
108,浙江,female,sophomore,city,public,0.23182475105009848,28,15,29,-0.12917256838590302,-0.557199211045365,1,0,0,1,0,0,0,1,0,1
109,云南,female,sophomore,rural,public,1.1057366470398051,19,17,32,-10.567745410712773,-9.557199211045365,1,0,0,1,0,0,1,0,0,1
110,浙江,female,sophomore,city,public,0.6881938924404195,26,10,35,-1.7598488787948796,-2.557199211045365,1,0,0,1,0,0,0,1,0,1
111,天津,female,sophomore,city,public,-0.2608464268006891,28,20,32,0.1453434232173465,-0.557199211045365,1,0,0,1,0,0,0,1,0,1
112,浙江,female,sophomore,city,public,-0.06152847809029235,28,15,25,0.03428361944873292,-0.557199211045365,1,0,0,1,0,0,0,1,0,1
113,浙江,male,sophomore,city,public,0.4007480580486187,36,22,29,2.982687962616297,7.442800788954635,0,1,0,1,0,0,0,1,0,1
114,云南,male,sophomore,rural,public,0.6839886957916379,29,28,40,0.30287073413258914,0.44280078895463504,0,1,0,1,0,0,1,0,0,1
115,湖南,female,sophomore,city,public,0.09722536999109448,25,16,24,-0.345850009425915,-3.557199211045365,1,0,0,1,0,0,0,1,0,1
116,云南,female,sophomore,rural,private,1.1057366470398051,36,28,40,8.229777588963914,7.442800788954635,1,0,0,1,0,0,1,0,1,0
117,云南,female,freshman,rural,private,-0.4712908835356561,25,8,12,1.6764755590859088,-3.557199211045365,1,0,1,0,0,0,1,0,1,0
118,北京,female,freshman,city,public,1.1057366470398051,29,22,32,0.4896210596852785,0.44280078895463504,1,0,1,0,0,0,0,1,0,1
119,云南,male,freshman,city,private,-0.07775396385733448,21,20,22,0.587602194318298,-7.557199211045365,0,1,1,0,0,0,0,1,1,0
120,上海,male,sophomore,rural,public,-0.7158537665890586,25,20,24,2.5464344537344523,-3.557199211045365,0,1,0,1,0,0,1,0,0,1
121,河南,female,senior,city,public,1.1057366470398051,35,23,38,7.124040941924109,6.442800788954635,1,0,0,0,0,1,0,1,0,1
122,云南,male,sophomore,city,private,0.38437394018025767,28,22,32,-0.2141728562148379,-0.557199211045365,0,1,0,1,0,0,0,1,1,0
123,云南,female,sophomore,rural,private,0.22171215965272692,33,19,31,0.9850229578259712,4.442800788954635,1,0,0,1,0,0,1,0,1,0
124,云南,female,freshman,city,private,1.1057366470398051,28,28,40,-0.6161155873545267,-0.557199211045365,1,0,1,0,0,0,0,1,1,0
125,浙江,male,sophomore,city,public,0.5676363870064268,30,26,38,0.8189862270122311,1.442800788954635,0,1,0,1,0,0,0,1,0,1
126,重庆,female,senior,city,public,0.9711372659808011,31,20,30,2.372294879521148,2.442800788954635,1,0,0,0,0,1,0,1,0,1
127,云南,male,sophomore,rural,private,0.12141535275174327,30,18,28,0.1751781667414205,1.442800788954635,0,1,0,1,0,0,1,0,1,0
128,浙江,male,sophomore,rural,public,-0.09803601417183945,21,12,18,0.7408776889534573,-7.557199211045365,0,1,0,1,0,0,1,0,0,1
129,浙江,male,sophomore,city,public,0.5535945113814155,25,12,18,-1.9692459591250153,-3.557199211045365,0,1,0,1,0,0,0,1,0,1
130,浙江,male,freshman,rural,private,1.1057366470398051,26,18,31,-2.827588881434137,-2.557199211045365,0,1,1,0,0,0,1,0,1,0
131,国外,male,freshman,city,public,0.11923174260971241,35,28,31,0.7681863653542911,6.442800788954635,0,1,1,0,0,0,0,1,0,1
132,浙江,male,freshman,city,public,-2.4952632455766763,22,4,8,16.36193818524588,-6.557199211045365,0,1,1,0,0,0,0,1,0,1
133,浙江,female,sophomore,city,public,1.1057366470398051,36,20,25,8.229777588963914,7.442800788954635,1,0,0,1,0,0,0,1,0,1
134,国外,female,freshman,city,public,0.41899513032241154,34,19,24,2.2805070258869717,5.442800788954635,1,0,1,0,0,0,0,1,0,1
135,浙江,male,sophomore,city,public,-1.7791196519931092,22,4,8,11.66604197840452,-6.557199211045365,0,1,0,1,0,0,0,1,0,1
136,吉林,female,sophomore,city,public,0.9267007486439134,32,17,28,3.190446068556116,3.442800788954635,1,0,0,1,0,0,0,1,0,1
137,云南,male,sophomore,city,private,-0.21220471281501962,28,20,29,0.11824029856063718,-0.557199211045365,0,1,0,1,0,0,0,1,1,0
138,浙江,male,junior,rural,public,0.8084541336717747,30,20,33,1.1664382618952724,1.442800788954635,0,1,0,0,1,0,1,0,0,1
139,云南,female,sophomore,city,private,1.1057366470398051,37,28,40,9.33551423600372,8.442800788954635,1,0,0,1,0,0,0,1,1,0
140,湖南,female,sophomore,rural,public,-0.5034178077991801,23,24,30,2.7975930443277908,-5.557199211045365,1,0,0,1,0,0,1,0,0,1
141,云南,female,senior,city,private,-0.6704602001447338,29,21,27,-0.29688030558677064,0.44280078895463504,1,0,0,0,0,1,0,1,1,0
142,浙江,female,sophomore,rural,public,0.6658902556191639,24,15,25,-3.03459454755045,-4.557199211045365,1,0,0,1,0,0,1,0,0,1
143,天津,male,sophomore,city,public,1.1057366470398051,31,28,40,2.701094353764889,2.442800788954635,0,1,0,1,0,0,0,1,0,1
144,陕西,male,sophomore,rural,public,-0.165584585336101,26,15,26,0.42343277098275134,-2.557199211045365,0,1,0,1,0,0,1,0,0,1
145,浙江,male,sophomore,city,private,0.0014523757230259597,36,22,24,0.010809743177196171,7.442800788954635,0,1,0,1,0,0,0,1,1,0
146,国外,female,freshman,city,private,0.9570953903557898,33,26,30,4.252184155377548,4.442800788954635,1,0,1,0,0,0,0,1,1,0
147,陕西,female,sophomore,rural,public,0.07088729282668077,27,21,29,-0.11038563646284906,-1.557199211045365,1,0,0,1,0,0,1,0,0,1
148,云南,female,sophomore,city,private,-0.6947632992684355,28,18,24,0.38712156221564703,-0.557199211045365,1,0,0,1,0,0,0,1,1,0
149,云南,male,junior,city,public,0.4026210124540505,36,26,38,2.996627989142721,7.442800788954635,0,1,0,0,1,0,0,1,0,1
150,云南,male,junior,rural,public,0.8043975691243118,35,24,38,5.182573292987307,6.442800788954635,0,1,0,0,1,0,1,0,0,1
151,云南,male,sophomore,rural,private,-2.4952632455766763,22,4,8,16.36193818524588,-6.557199211045365,0,1,0,1,0,0,1,0,1,0
152,北京,female,sophomore,city,public,0.3865575503222885,28,20,28,-0.2153895620632081,-0.557199211045365,1,0,0,1,0,0,0,1,0,1
153,云南,female,sophomore,city,private,-0.6298960995157241,22,18,16,4.130354206785059,-6.557199211045365,1,0,0,1,0,0,0,1,1,0
154,浙江,male,sophomore,city,public,-0.5179110110145747,29,24,30,-0.22933140428554635,0.44280078895463504,0,1,0,1,0,0,0,1,0,1
155,广西,male,sophomore,city,public,-0.9335808112085283,32,24,28,-3.2141327533816293,3.442800788954635,0,1,0,1,0,0,0,1,0,1
156,陕西,female,freshman,rural,public,0.07088729282668077,32,17,34,0.2440508276705548,3.442800788954635,1,0,1,0,0,0,1,0,0,1
157,江苏,male,sophomore,city,public,0.5673391228037891,28,24,30,-0.3161209116214407,-0.557199211045365,0,1,0,1,0,0,0,1,0,1
158,云南,female,freshman,rural,private,0.09722536999109448,25,16,24,-0.345850009425915,-3.557199211045365,1,0,1,0,0,0,1,0,1,0
159,云南,male,freshman,city,private,0.13590312468071108,27,17,24,-0.21162823853140317,-1.557199211045365,0,1,1,0,0,0,0,1,1,0
160,云南,female,freshman,city,private,0.836537884921797,22,16,24,-5.485345559018766,-6.557199211045365,1,0,1,0,0,0,0,1,1,0
161,云南,male,freshman,city,private,0.6878966282377817,25,16,24,-2.446985343248204,-3.557199211045365,0,1,1,0,0,0,0,1,1,0
162,云南,female,freshman,city,private,-0.5136924228318317,25,23,28,1.8273062812173737,-3.557199211045365,1,0,1,0,0,0,0,1,1,0
163,云南,female,freshman,rural,private,-0.06356345613100438,27,16,25,0.09898096373851668,-1.557199211045365,1,0,1,0,0,0,1,0,1,0
164,云南,male,freshman,city,private,-0.917503957542805,37,28,39,-7.746303136611394,8.442800788954635,0,1,1,0,0,0,0,1,1,0
165,云南,male,freshman,city,private,0.14979636820440353,33,24,32,0.665515422841063,4.442800788954635,0,1,1,0,0,0,0,1,1,0
166,云南,female,freshman,city,private,-0.6602907412276006,28,12,23,0.3679134800725783,-0.557199211045365,1,0,1,0,0,0,0,1,1,0
167,云南,female,freshman,city,private,0.6697981880653078,27,17,23,-1.0430092100149122,-1.557199211045365,1,0,1,0,0,0,0,1,1,0
168,云南,female,freshman,rural,private,-0.5133951586291942,26,20,30,1.3128536946010854,-2.557199211045365,1,0,1,0,0,0,1,0,1,0
169,云南,male,freshman,rural,private,0.8043975691243118,28,16,25,-0.448209690882876,-0.557199211045365,0,1,1,0,0,0,1,0,1,0
170,云南,female,freshman,city,private,-0.06356345613100438,28,23,30,0.035417507607512305,-0.557199211045365,1,0,1,0,0,0,0,1,1,0
171,云南,female,freshman,city,private,-0.6843400521344649,28,24,24,0.38131373713606775,-0.557199211045365,1,0,1,0,0,0,0,1,1,0
172,云南,female,freshman,city,private,-1.3715408566897764,27,13,26,2.135762339953804,-1.557199211045365,1,0,1,0,0,0,0,1,1,0
173,云南,female,freshman,rural,private,0.07103592492799964,24,20,27,-0.3237248610377577,-4.557199211045365,1,0,1,0,0,0,1,0,1,0
174,云南,male,freshman,rural,public,-2.4952632455766763,28,15,30,1.3903587117858207,-0.557199211045365,0,1,1,0,0,0,1,0,0,1
175,云南,male,freshman,rural,private,-1.2309906048963821,28,21,31,0.6859069938525207,-0.557199211045365,0,1,1,0,0,0,1,0,1,0
176,云南,male,freshman,city,private,-1.5301460726698444,28,19,25,0.852596184475801,-0.557199211045365,0,1,1,0,0,0,0,1,1,0
177,云南,female,freshman,city,private,0.26831889559768424,32,20,27,0.9237685054551437,3.442800788954635,1,0,1,0,0,0,0,1,1,0
178,云南,male,freshman,city,private,0.5394040036550853,23,21,27,-2.9975755035467513,-5.557199211045365,0,1,1,0,0,0,0,1,1,0
179,云南,female,freshman,rural,private,0.5191219533405805,28,19,22,-0.28925434283770024,-0.557199211045365,1,0,1,0,0,0,1,0,1,0
180,云南,male,freshman,rural,private,0.20548667388568478,30,18,31,0.2964763352019298,1.442800788954635,0,1,1,0,0,0,1,0,1,0
181,云南,female,freshman,city,private,0.800341004576849,27,16,29,-1.246290380894324,-1.557199211045365,1,0,1,0,0,0,0,1,1,0
182,云南,female,freshman,city,private,-0.36084596949903486,28,21,23,0.20106308951376206,-0.557199211045365,1,0,1,0,0,0,0,1,1,0
183,云南,female,freshman,rural,private,-0.23030315298749368,26,10,19,0.5889310411208788,-2.557199211045365,1,0,1,0,0,0,1,0,1,0
184,云南,female,freshman,rural,private,0.05278885265420672,32,22,29,0.18174150356591287,3.442800788954635,1,0,1,0,0,0,1,0,1,0
185,浙江,male,sophomore,rural,public,0.5534458792800966,28,15,25,-0.30837960729117814,-0.557199211045365,0,1,0,1,0,0,1,0,0,1
186,云南,female,sophomore,rural,private,-0.3811280198135399,26,20,32,0.9746202715744664,-2.557199211045365,1,0,0,1,0,0,1,0,1,0
187,云南,female,sophomore,rural,public,-0.3649025340464977,27,15,26,0.5682259381256607,-1.557199211045365,1,0,0,1,0,0,1,0,0,1
188,云南,female,sophomore,rural,private,-0.18399368124517404,26,16,21,0.47050849651749144,-2.557199211045365,1,0,0,1,0,0,1,0,1,0
189,云南,female,sophomore,city,private,-0.782593920747202,30,16,25,-1.129127126285164,1.442800788954635,1,0,0,1,0,0,0,1,1,0
190,云南,male,freshman,rural,private,1.1057366470398051,27,28,40,-1.7218522343943317,-1.557199211045365,0,1,1,0,0,0,1,0,1,0
191,云南,female,freshman,city,private,0.8224960092967858,29,18,24,0.3642018818286556,0.44280078895463504,1,0,1,0,0,0,0,1,1,0
192,云南,male,freshman,rural,private,-0.7897144849964245,26,20,28,2.0194572579839534,-2.557199211045365,0,1,1,0,0,0,1,0,1,0
193,云南,male,freshman,city,private,-0.3630295796410658,26,12,24,0.928338954644264,-2.557199211045365,0,1,1,0,0,0,0,1,1,0
194,云南,male,freshman,city,private,-0.36708614418852864,28,11,22,0.20454010992753324,-0.557199211045365,0,1,1,0,0,0,0,1,1,0
195,云南,female,freshman,rural,private,0.3865575503222885,34,28,39,2.103955739870523,5.442800788954635,1,0,1,0,0,0,1,0,1,0
196,云南,female,freshman,city,private,-1.6737737156989596,31,20,30,-4.088695753240949,2.442800788954635,1,0,1,0,0,0,0,1,1,0
197,云南,female,freshman,city,private,-0.25678986225322625,32,24,32,-0.8840763403609594,3.442800788954635,1,0,1,0,0,0,0,1,1,0
198,云南,male,sophomore,city,public,0.9570953903557898,26,20,29,-2.4474835771129815,-2.557199211045365,0,1,0,1,0,0,0,1,0,1
199,云南,female,sophomore,city,private,-1.8962037182367304,22,9,14,12.433785525203175,-6.557199211045365,1,0,0,1,0,0,0,1,1,0
