study_name,study_id,replicated,posemo,certain
study,243,0.0,2.14,0.69
study,244,0.0,1.68,1.25
study,245,0.0,1.72,1.05
study,246,1.0,2.95,1.2
study,247,1.0,0.52,0.79
study,249,0.0,3.48,1.15
study,250,0.0,2.24,1.19
study,251,0.0,0.7,2.63
study,252,0.0,1.1,1.1
study,253,0.0,2.28,0.91
study,254,0.0,2.91,2.07
study,257,1.0,1.03,1.21
study,260,0.0,1.22,0.68
study,261,0.0,1.86,2.46
study,262,0.0,3.01,0.38
study,263,0.0,6.74,1.35
study,264,0.0,2.68,1.08
study,265,0.0,3.14,0.5
study,266,0.0,2.67,1.77
study,267,0.0,1.24,0.35
study,269,0.0,0.87,0.43
study,273,1.0,2.61,0.15
study,274,0.0,1.7,1.85
study,278,0.0,0.55,0.55
study,279,1.0,1.17,1.4
study,283,0.0,1.7,0.46
study,285,1.0,0.1,0.5
study,286,1.0,0.62,1.17
study,287,1.0,0.71,1.22
study,288,1.0,0.78,1.13
study,289,1.0,1.38,0.69
study,293,1.0,0.49,1.07
study,295,1.0,1.74,1.5
study,296,1.0,1.37,1.14
study,297,0.0,0.62,1.28
study,298,0.0,1.15,0.57
study,300,0.0,0.96,1.79
study,301,1.0,1.88,1.99
study,302,1.0,2.26,2.18
study,303,1.0,4.2,4.2
study,304,0.0,1.76,1.32
study,307,1.0,3.7,1.07
study,308,1.0,0.96,1.3
study,310,0.0,2.36,2.2
study,311,0.0,1.48,1.08
study,312,1.0,1.69,2.24
study,314,1.0,0.68,0.57
study,315,0.0,1.43,1.87
study,316,0.0,0.65,1.62
study,317,0.0,1.7,3.23
study,318,1.0,1.58,1.54
study,121a,0.0,1.86,0.93
study,121b,0.0,4.05,0.9
study,121c,0.0,3.4,0.85
study,151a,1.0,1.49,0.85
study,151b,1.0,2.25,0.45
study,161a,1.0,2.56,2.48
study,161b,1.0,2.53,3.64
study,206a,0.0,1.67,0.84
study,206b,0.0,1.95,0.39
study,207a,0.0,5.75,1.48
study,207b,0.0,6.19,1.55
study,207c,1.0,5.5,1.59
study,217a,0.0,1.43,1.14
study,217b,1.0,1.25,0.72
study,217c,0.0,3.61,0.6
study,219a,0.0,2.89,1.65
study,219b,0.0,2.15,1.29
study,221a,0.0,1.17,0.0
study,221b,0.0,0.89,0.0
study,227a,1.0,2.01,2.89
study,227b,1.0,1.14,3.65
study,228a,0.0,1.27,0.88
study,228b,0.0,1.27,0.88
study,248a,1.0,1.93,0.45
study,248b,1.0,1.51,0.34
study,248c,0.0,1.53,1.18
study,248d,0.0,1.01,0.43
study,255a,0.0,1.85,0.84
study,255b,0.0,1.78,0.59
study,259a,1.0,0.96,0.96
study,259b,1.0,0.97,0.0
study,275a,0.0,1.15,1.05
study,275b,0.0,2.08,1.15
study,277a,0.0,1.04,1.48
study,277b,0.0,1.86,0.7
study,305a,0.0,0.97,0.48
study,305b,0.0,2.54,0.0
study,306a,1.0,2.56,1.88
study,306b,0.0,3.07,1.5
study,309a,0.0,3.84,1.01
study,309b,0.0,4.76,1.5
study,30a,0.0,1.01,2.63
study,30b,0.0,0.94,1.6
study,313a,1.0,2.5,0.89
study,313b,0.0,2.93,2.36
study,34a,0.0,0.76,2.02
study,34b,0.0,4.48,0.22
study,36a,0.0,1.3,1.17
study,36b,1.0,0.94,0.57
