"SCHOOLID","SEX","PPED","REPEAT","MSESC"
10314,"girl","no",0,0.29
10314,"girl","no",0,0.29
10314,"girl","no",0,0.29
10314,"girl","no",0,0.29
10314,"girl","no",0,0.29
10314,"girl","no",1,0.29
10314,"boy","no",0,0.29
10314,"boy","no",0,0.29
10314,"boy","no",0,0.29
10314,"boy","no",0,0.29
10314,"boy","no",0,0.29
10314,"boy","no",1,0.29
10314,"boy","no",1,0.29
10314,"boy","no",1,0.29
10314,"boy","no",1,0.29
10315,"girl","no",0,0.68
10315,"girl","no",0,0.68
10315,"girl","no",0,0.68
10315,"girl","no",1,0.68
10315,"girl","yes",0,0.68
10315,"girl","yes",0,0.68
10315,"girl","yes",0,0.68
10315,"girl","yes",0,0.68
10315,"girl","yes",0,0.68
10315,"girl","yes",0,0.68
10315,"girl","yes",0,0.68
10315,"boy","no",0,0.68
10315,"boy","no",0,0.68
10315,"boy","no",0,0.68
10315,"boy","no",1,0.68
10315,"boy","no",1,0.68
10315,"boy","no",1,0.68
10315,"boy","no",1,0.68
10315,"boy","no",1,0.68
10315,"boy","yes",0,0.68
10315,"boy","yes",0,0.68
10315,"boy","yes",1,0.68
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"girl","yes",0,0.11
10418,"boy","no",0,0.11
10418,"boy","no",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",0,0.11
10418,"boy","yes",1,0.11
20101,"girl","no",0,0.06
20101,"girl","no",0,0.06
20101,"girl","no",0,0.06
20101,"girl","no",0,0.06
20101,"girl","no",1,0.06
20101,"boy","no",0,0.06
20101,"boy","no",0,0.06
20101,"boy","no",0,0.06
20101,"boy","no",0,0.06
20101,"boy","no",0,0.06
20101,"boy","no",0,0.06
20101,"boy","no",1,0.06
20101,"boy","no",1,0.06
20101,"boy","no",1,0.06
20101,"boy","yes",0,0.06
20101,"boy","yes",0,0.06
20101,"boy","yes",1,0.06
20203,"girl","yes",0,-0.38
20203,"girl","yes",0,-0.38
20203,"girl","yes",0,-0.38
20203,"girl","yes",0,-0.38
20203,"boy","no",0,-0.38
20203,"boy","no",0,-0.38
20203,"boy","no",1,-0.38
20203,"boy","yes",0,-0.38
20203,"boy","yes",0,-0.38
20203,"boy","yes",0,-0.38
20203,"boy","yes",0,-0.38
20203,"boy","yes",0,-0.38
20203,"boy","yes",0,-0.38
20203,"boy","yes",1,-0.38
20204,"girl","yes",0,0.04
20204,"girl","yes",0,0.04
20204,"girl","yes",0,0.04
20204,"girl","yes",0,0.04
20204,"girl","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",0,0.04
20204,"boy","yes",1,0.04
20205,"girl","no",0,-0.45
20205,"boy","no",0,-0.45
20205,"boy","no",1,-0.45
20205,"boy","yes",0,-0.45
20205,"boy","yes",0,-0.45
20205,"boy","yes",0,-0.45
20205,"boy","yes",0,-0.45
20205,"boy","yes",0,-0.45
20205,"boy","yes",0,-0.45
20205,"boy","yes",1,-0.45
20205,"boy","yes",1,-0.45
20206,"girl","yes",0,-0.11
20206,"girl","yes",0,-0.11
20206,"girl","yes",0,-0.11
20206,"girl","yes",0,-0.11
20206,"girl","yes",0,-0.11
20206,"girl","yes",0,-0.11
20206,"girl","yes",0,-0.11
20206,"girl","yes",1,-0.11
20206,"boy","yes",0,-0.11
20206,"boy","yes",0,-0.11
20206,"boy","yes",0,-0.11
20206,"boy","yes",0,-0.11
20206,"boy","yes",0,-0.11
20206,"boy","yes",0,-0.11
20206,"boy","yes",0,-0.11
20206,"boy","yes",1,-0.11
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",0,-0.04
20207,"girl","yes",1,-0.04
20207,"girl","yes",1,-0.04
20207,"girl","yes",1,-0.04
20207,"boy","no",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",0,-0.04
20207,"boy","yes",1,-0.04
20207,"boy","yes",1,-0.04
20207,"boy","yes",1,-0.04
20207,"boy","yes",1,-0.04
20207,"boy","yes",1,-0.04
20207,"boy","yes",1,-0.04
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",0,-0.42
20308,"girl","yes",1,-0.42
20308,"girl","yes",1,-0.42
20308,"girl","yes",1,-0.42
20308,"boy","yes",0,-0.42
20308,"boy","yes",0,-0.42
20308,"boy","yes",1,-0.42
20308,"boy","yes",1,-0.42
20308,"boy","yes",1,-0.42
20308,"boy","yes",1,-0.42
20309,"girl","yes",0,-0.38
20309,"boy","yes",1,-0.38
20310,"girl","yes",0,-0.39
20310,"girl","yes",0,-0.39
20310,"girl","yes",0,-0.39
20310,"girl","yes",0,-0.39
20310,"girl","yes",1,-0.39
20310,"girl","yes",1,-0.39
20310,"girl","yes",1,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",0,-0.39
20310,"boy","yes",1,-0.39
20311,"girl","yes",0,-0.16
20311,"girl","yes",0,-0.16
20311,"girl","yes",0,-0.16
20311,"girl","yes",0,-0.16
20311,"girl","yes",0,-0.16
20311,"boy","yes",0,-0.16
20311,"boy","yes",0,-0.16
20311,"boy","yes",0,-0.16
20311,"boy","yes",1,-0.16
20311,"boy","yes",1,-0.16
20414,"girl","yes",0,-0.31
20414,"girl","yes",0,-0.31
20414,"girl","yes",0,-0.31
20414,"girl","yes",0,-0.31
20414,"girl","yes",0,-0.31
20414,"girl","yes",0,-0.31
20414,"girl","yes",0,-0.31
20414,"girl","yes",0,-0.31
20414,"girl","yes",1,-0.31
20414,"boy","no",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",0,-0.31
20414,"boy","yes",1,-0.31
20414,"boy","yes",1,-0.31
